Category,Level1,Level2,Level3,Level4,Budget,,GovXFer,State,Local,Total
Innovation and Instructional Teams,Public Services,Health,Day to day Spending,Central Department and agencies,2780,b,,,,2780
Innovation and Instructional Teams,Public Services,Health,Day to day Spending,National Productivity Investment Fund,391,b,,,,391
English Learner Education,Public Services,Health,Day to day Spending,Health Education England,1852,b,,,,1852
Program Management,Public Services,Health,Day to day Spending,Local Authorities Health,3091,b,,,,3091
Grants to States for Medicaid,Public Services,Health,Day to day Spending,NHS Commissioning Board,24489,b,,,,24489
Children's Health Insurance Fund,Public Services,Health,Day to day Spending,Transport Development Fund,20535,b,,,,20535
State Grants and Demonstrations,Public Services,Health,Day to day Spending,NHS Providers,62887,b,,,,62887
Center for Medicare and Medicaid Innovation,Public Services,Health,Day to day Spending,Public Health England,767,b,,,,767
Child Enrollment Contingency Fund,Public Services,Health,Day to day Spending,Special Health Authorities,2454,b,,,,2454
Health Insurance Reform Implementation Fund,Public Services,Health,Investment,Central Department and agencies,2766,b,,,,2766
Office of the National Coordinator for Health Information Technology,Public Services,Health,Investment,Health Education England,32,b,,,,32
Public Health and Social Services Emergency Fund,Public Services,Health,Investment,Local Authorities Health,262,b,,,,262
General Departmental Management,Public Services,Health,Investment,NHS Commissioning Board,2900,b,,,,2900
Retirement Pay and Medical Benefits for Commissioned Officers,Public Services,Health,Investment,NHS Providers,91,b,,,,91
Miscellaneous Trust Funds,Public Services,Health,Investment,Public Health England,34,b,,,,34
Office of the Inspector General,Public Services,DCLG (Local government),Day to day Spending,Grants and payments,2883,b,,,,2883
Federal Intergovernmental  Public Welfare (B79),Public Services,DCLG (Local government),Day to day Spending,Non-domestic rates,25,b,,,,25
"Current Operations  Welfare, Payments to Medicare Trust Fund (NEW for 2007; previous (E73)",Public Services,DCLG (Local government),Day to day Spending,Revenue support grant,3821,b,,,,3821
"Current Operations  Public Welfare, Vendor Payments for Medical Care (E74)",Public Services,DCLG (Communities),Day to day Spending,DCLG Staff and building costs,173,b,,,,173
Operation of Indian Programs,Public Services,DCLG (Communities),Day to day Spending,Decentralisation and local Growth,218,b,,,,218
Operation of Indian Programs,Public Services,DCLG (Communities),Day to day Spending,Housing and Planning,2138,b,,,,2138
Education Improvement Programs,Public Services,DCLG (Communities),Day to day Spending,Local Government services,95,b,,,,95
Indian Student Education,Public Services,DCLG (Communities),Day to day Spending,"Research, data and trading funds",37,b,,,,37
Impact Aid,Public Services,DCLG (Communities),Day to day Spending,Troubled Families,239,b,,,,239
Supporting Student Success,Public Services,DCLG (Communities),Day to day Spending,Unallocated Provision,11,b,,,,11
Accelerating Achievement and Ensuring Equity,Public Services,DCLG (Communities),Investment,DCLG Staff and building costs,13,b,,,,13
Special Education,Public Services,DCLG (Communities),Investment,Decentralisation and local Growth,1424,b,,,,1424
"Career, Technical and Adult Education",Public Services,DCLG (Communities),Investment,Housing and Planning,4679,b,,,,4679
Federal Payment for School Improvement,Public Services,DCLG (Communities),Investment,Local Government services,373,b,,,,373
Current Operations  Elementary and Secondary Education (E12),Public Services,DCLG (Communities),Investment,"Research, data and trading funds",6,b,,,,6
Construction  Elementary and Secondary Education (F12),Public Services,DCLG (Communities),Investment,Unallocated Provision,17,b,,,,17
Other Capital Outlay  Elementary and Secondary Education (G12),Public Services,Education,Day to day Spending,Administration & central functions,327,b,,,,327
Payment Where American Opportunity Credit Exceeds Liability for TAX,Public Services,Education,Day to day Spending,Education & Skills Funding Agency,3039,b,,,,3039
"Federal Family Education Loan Program, Negative Subsidies",Public Services,Education,Day to day Spending,Further education,198,b,,,,198
"Federal Perkins Loan, Negative Subsidies",Public Services,Education,Day to day Spending,Grants to academies,16976,b,,,,16976
National Technical Institute for the Deaf,Public Services,Education,Day to day Spending,Grants to local authority schools,31506,b,,,,31506
Gallaudet University,Public Services,Education,Day to day Spending,Higher education,6119,b,,,,6119
Higher Education,Public Services,Education,Day to day Spending,School infrastructure & other ,249,b,,,,249
Special Benefits,Public Services,Education,Day to day Spending,"Social care, mobility and equalities",413,b,,4,3,413
Armed Forces Retirement Home,Public Services,Education,Day to day Spending,"Standards, curriculum & qualifications",5543,b,,,,5543
"Reemployed Annuitants Salary Offset, Civil Service Retirement and Disability Fund",Public Services,Education,Day to day Spending,Teaching and leadership,480,b,,,,480
Civil Service Retirement and Disability Fund,Public Services,Education,Investment,Administration & central functions,74,b,,,,74
Civil Service Retirement and Disability Fund,Public Services,Education,Investment,Education & Skills Funding Agency,1031,b,,,,1031
Employees Life Insurance Fund,Public Services,Education,Investment,Further education,94,b,,,,94
Judicial Officers' Retirement Fund,Public Services,Education,Investment,Grants to academies,673,b,,,,673
"Reimbursement for Program Expenses, Federal Retirement Thrift Investment Board",Public Services,Education,Investment,Grants to local authority schools,3064,b,,,,3064
Program Expenses,Public Services,Education,Investment,Higher education,245,b,,,,245
"Administrative Expenses, Recovery Act",Public Services,Education,Investment,School infrastructure & other ,1,b,,,,1
"FOASI, General Fund Payments for Payroll Tax Holiday (PL 111312)",Public Services,Education,Investment,"Social care, mobility and equalities",1,b,,,,1
,Public Services,DCMS,Day to day Spending,Museums Galleries and Libraries,541,b,,,,541
,Public Services,DCMS,Day to day Spending,Arts and Heritage,481,b,,,,481
,Public Services,DCMS,Investment,Broadcasting and Media,246,b,,,,246
,Public Services,DCMS,Day to day Spending,Sports,132,b,,,,132
,Public Services,DCMS,Day to day Spending,Broadcasting and Media,97,b,,,,97
,Public Services,DCMS,Investment,Arts and Heritage,86,b,,,,86
,Public Services,DCMS,Investment,Museums Galleries and Libraries,80,b,,,,80
,Public Services,DCMS,Investment,Sports,37,b,,,,37
,Public Services,DCMS,Day to day Spending,Olympics,4,b,,,,4
,Public Services,DCMS,Investment,Other,0,b,,,,0
,Public Services,DCMS,Day to day Spending,Other,323,b,,,,323
,Central Government,Cabinet Office,Day to day Spending,Central Facilitation,203,b,,,,203
,Central Government,Cabinet Office,Day to day Spending,Efficiency and Responsiveness,151,b,,,,151
,Central Government,Cabinet Office,Investment,Efficiency and responsiveness,72,b,,,,72
,Central Government,Cabinet Office,Investment,Central Facilitation,25,b,,,,25
,Central Government,Cabinet Office,Day to day Spending,Elections,115,b,,,,115
,Central Government,Cabinet Office,Day to day Spending,European Parliament,20,b,,,,20
,Central Government,Treasury,Day to day Spending,Treasury administration,12,b,,,,12
,Central Government,Treasury,Day to day Spending,Debt Management Office,7,b,,,,7
,Central Government,Treasury,Day to day Spending,UK Government Investments,6,b,,,,6
,Central Government,Treasury,Day to day Spending,Banking services,5,b,,,,5
,Central Government,Treasury,Day to day Spending,National Infrastructure Commission,3,b,,,,3
,Central Government,Treasury,Day to day Spending,Other,5,b,,,,5
,Central Government,Treasury,Day to day Spending,Unallocated provision,3,b,,,,3
,Central Government,Treasury,Investment,Core Treasury,104,b,,,,104
,Central Government,Treasury,Investment,Asian Infrastructure Bank,80,b,,,,80
,Central Government,Treasury,Investment,Debt Management Office,5,b,,,,5
,Intl relations & Defence,International Trade,Day to day Spending,Trade Policy,364,b,,,,364
,Intl relations & Defence,International Trade,Investment,Trade Policy,7,b,,,,7
,Intl relations & Defence,Exiting the EU,Day to day Spending,Exiting the European Union,101,b,,,,101
,Intl relations & Defence,Exiting the EU,Investment,Exiting the European Union,0,b,,,,0
,Intl relations & Defence,Defence,Day to day Spending,Equipment and Infrastructure,20832,b,,,,20832
,Intl relations & Defence,Defence,Day to day Spending,Service Personnel,9483,b,,,,9483
,Intl relations & Defence,Defence,Investment,Single Use Military Equipment,4051,b,,,,4051
,Intl relations & Defence,Defence,Investment,Research and development,1921,b,,,,1921
,Intl relations & Defence,Defence,Day to day Spending,Civilian Personnel,1779,b,,,,1779
,Intl relations & Defence,Defence,Day to day Spending,Administration Costs,1541,b,,,,1541
,Intl relations & Defence,Defence,Day to day Spending,Operations Costs,235,b,,,,235
,Intl relations & Defence,Defence,Investment,Other,2558,b,,,,2558
,Intl relations & Defence,Defence,Day to day Spending,Other,2166,b,,,,2166
